,RB090_COMPONENT,RB090_DATE_OUT-RB090_DATE_IN
14764,OUTSOLE,275.3758333
15702,OUTSOLE,275.3002778
9838,OUTSOLE,275.2658333
15701,OUTSOLE,275.2644444
21382,OUTSOLE,274.8755556
27873,OUTSOLE,274.8569444
9791,OUTSOLE,274.7438889
14633,OUTSOLE,274.6619444
14636,OUTSOLE,274.6619444
14632,OUTSOLE,274.6577778
14634,OUTSOLE,274.6577778
14635,OUTSOLE,274.6577778
5122,OUTSOLE,274.5047222
33988,OUTSOLE,274.4225
9792,OUTSOLE,274.2219444
1596,OUTSOLE,274.1563889
14660,OUTSOLE,273.7702778
43800,OUTSOLE,273.77
33779,OUTSOLE,273.5916667
17292,OUTSOLE,273.5719444
34219,OUTSOLE,273.5316667
34220,OUTSOLE,273.5316667
21354,OUTSOLE,273.4455556
40273,OUTSOLE,273.4391667
33016,OUTSOLE,273.3258333
6306,OUTSOLE,273.1880556
39433,OUTSOLE,273.1772222
33045,OUTSOLE,273.1177778
14661,OUTSOLE,273.0738889
14662,OUTSOLE,273.0738889
14663,OUTSOLE,272.8975
39214,OUTSOLE,272.7466667
43642,OUTSOLE,272.4097222
27786,OUTSOLE,272.4072222
40431,OUTSOLE,272.1305556
42382,OUTSOLE,272.0966667
10058,OUTSOLE,271.7788889
34608,OUTSOLE,271.7383333
34630,OUTSOLE,271.5572222
34631,OUTSOLE,271.4969444
39275,OUTSOLE,271.4816667
34629,OUTSOLE,271.4441667
30582,OUTSOLE,271.1961111
22360,OUTSOLE,271.1286111
40692,OUTSOLE,271.0683333
19565,OUTSOLE,271.0494444
27010,OUTSOLE,271.0419444
27011,OUTSOLE,271.0419444
18507,OUTSOLE,270.8744444
39639,OUTSOLE,270.6969444
26266,OUTSOLE,270.5152778
41794,OUTSOLE,270.5097222
27029,OUTSOLE,270.4261111
27030,OUTSOLE,270.4261111
25419,OUTSOLE,270.3558333
25420,OUTSOLE,270.3558333
27050,OUTSOLE,270.3558333
43820,OUTSOLE,270.2411111
42461,OUTSOLE,270.1811111
42462,OUTSOLE,270.1811111
43878,OUTSOLE,270.1211111
21281,OUTSOLE,270.0561111
6303,OUTSOLE,270.0547222
27016,OUTSOLE,269.8925
31249,OUTSOLE,269.8869444
11386,OUTSOLE,269.7913889
20136,OUTSOLE,269.7344444
25484,OUTSOLE,269.7086111
34143,OUTSOLE,269.6286111
34169,OUTSOLE,269.5994444
26416,OUTSOLE,269.4008333
26420,OUTSOLE,269.3919444
243,OUTSOLE,269.2755556
25694,OUTSOLE,269.2716667
38604,OUTSOLE,269.2336111
38605,OUTSOLE,269.2336111
25721,OUTSOLE,269.0997222
31897,OUTSOLE,269.0658333
31898,OUTSOLE,269.0658333
25727,OUTSOLE,268.9844444
31893,OUTSOLE,268.9697222
25733,OUTSOLE,268.9688889
33160,OUTSOLE,268.6869444
19878,OUTSOLE,268.5769444
33012,OUTSOLE,268.5011111
14897,OUTSOLE,268.3986111
43637,OUTSOLE,268.3258333
31955,OUTSOLE,268.3108333
31956,OUTSOLE,268.3108333
33628,OUTSOLE,268.1411111
26120,OUTSOLE,268.1194444
26121,OUTSOLE,268.1194444
14898,OUTSOLE,268.0519444
31984,OUTSOLE,268.0491667
14899,OUTSOLE,268.0430556
43374,OUTSOLE,268.0141667
14973,OUTSOLE,268.0097222
10073,OUTSOLE,267.9677778
21485,OUTSOLE,267.9025
21486,OUTSOLE,267.9025
26245,OUTSOLE,267.8788889
14896,OUTSOLE,267.8597222
